employee_id,age,department,job_role,monthly_income,years_at_company,job_satisfaction,overtime,attrition
E0090,20,Research & Development,Manufacturing Director,2270,9,4,No,No
E0091,54,Research & Development,Research Scientist,5966,36,4,Yes,No
E0092,54,Research & Development,Manufacturing Director,10807,0,4,No,No
E0093,21,Research & Development,Human Resources,6022,34,3,Yes,No
E0094,43,Research & Development,Research Scientist,6263,26,1,Yes,No
E0095,41,Research & Development,Human Resources,8346,4,1,No,Yes
E0096,25,Sales,Research Scientist,6547,28,4,Yes,No
E0097,41,Sales,Healthcare Representative,6027,23,3,No,No
E0098,52,Research & Development,Healthcare Representative,8539,0,1,No,No
E0099,32,Sales,Research Scientist,7538,9,1,No,No
E0100,49,Research & Development,Manufacturing Director,7135,14,1,No,Yes
E0101,59,Sales,Research Scientist,6195,8,4,No,No
E0102,37,Research & Development,Laboratory Technician,5739,23,4,No,No
E0103,22,Research & Development,Human Resources,8518,25,4,No,No
E0104,30,Sales,Sales Executive,5760,6,1,No,No
E0105,23,Sales,Human Resources,9209,5,3,Yes,No
E0106,33,Research & Development,Healthcare Representative,4196,26,4,Yes,No
E0107,45,Research & Development,Manager,9654,19,3,No,No
E0108,26,Research & Development,Research Scientist,7538,10,4,Yes,No
E0109,40,Sales,Human Resources,4369,10,3,No,No
E0110,60,Sales,Research Scientist,7620,1,1,No,No
E0111,29,Sales,Manufacturing Director,5069,35,2,No,Yes
E0112,55,Sales,Sales Executive,6574,34,2,No,No
E0113,31,Human Resources,Human Resources,5429,22,1,No,No
E0114,44,Sales,Healthcare Representative,6208,14,3,Yes,No
E0115,24,Sales,Research Scientist,8571,8,4,No,No
E0116,29,Research & Development,Healthcare Representative,7641,12,1,No,Yes
E0117,55,Research & Development,Research Scientist,4024,37,2,No,No
E0118,43,Research & Development,Manufacturing Director,4150,3,3,No,No
E0119,42,Research & Development,Manufacturing Director,7096,33,2,No,No
E0120,39,Human Resources,Human Resources,7255,12,1,Yes,No
E0121,28,Sales,Laboratory Technician,5016,10,1,No,No
E0122,57,Sales,Sales Executive,10001,33,1,No,Yes
E0123,34,Research & Development,Manufacturing Director,8290,39,4,Yes,No
E0124,18,Research & Development,Human Resources,5124,40,2,No,No
E0125,56,Human Resources,Manager,4911,10,4,Yes,Yes
E0126,20,Sales,Sales Executive,5999,24,3,Yes,No
E0127,56,Human Resources,Sales Executive,5770,11,2,Yes,No
E0128,29,Research & Development,Manager,9264,7,4,No,No
E0129,20,Research & Development,Manager,8666,15,2,Yes,No
E0130,27,Research & Development,Manufacturing Director,6577,2,1,Yes,No
E0131,46,Sales,Sales Executive,7991,6,4,No,No
E0132,41,Sales,Research Scientist,8311,24,3,No,No
E0133,24,Research & Development,Manager,6628,28,2,Yes,No
E0134,30,Research & Development,Sales Executive,7386,11,3,Yes,No
E0135,27,Sales,Research Scientist,7807,22,4,No,No
E0136,46,Research & Development,Manufacturing Director,7573,31,2,No,No
E0137,55,Research & Development,Manager,4787,36,4,No,No
E0138,28,Research & Development,Manager,5009,23,4,Yes,Yes
E0139,56,Research & Development,Healthcare Representative,5865,9,4,No,No
E0140,35,Human Resources,Manufacturing Director,4945,29,1,No,No
E0141,21,Sales,Laboratory Technician,3259,6,1,Yes,No
E0142,31,Research & Development,Sales Executive,7987,5,1,Yes,No
E0143,55,Sales,Research Scientist,7262,14,3,No,Yes
E0144,52,Human Resources,Research Scientist,3553,13,2,No,No
E0145,49,Research & Development,Sales Executive,5970,5,4,Yes,Yes
E0146,35,Sales,Manager,6095,2,1,No,No
E0147,51,Sales,Laboratory Technician,6900,38,2,No,No
E0148,48,Research & Development,Manufacturing Director,4120,27,2,No,No
E0149,52,Research & Development,Research Scientist,3521,29,4,Yes,No
E0150,41,Research & Development,Healthcare Representative,7643,2,1,No,No
E0151,39,Research & Development,Sales Executive,3125,32,2,No,No
E0152,59,Research & Development,Healthcare Representative,5988,14,4,No,No
E0153,58,Research & Development,Manager,5783,30,4,No,No
E0154,41,Research & Development,Laboratory Technician,6229,20,4,No,No
E0155,26,Sales,Research Scientist,7056,9,3,No,No
E0156,35,Sales,Manager,10017,10,1,No,Yes
E0157,39,Research & Development,Research Scientist,2981,5,1,No,No
E0158,47,Research & Development,Research Scientist,8428,34,2,No,No
E0159,31,Sales,Laboratory Technician,1500,17,2,No,No
E0160,19,Research & Development,Human Resources,9566,31,3,No,No
E0161,53,Sales,Manufacturing Director,2006,33,1,No,No
E0162,58,Research & Development,Research Scientist,11860,6,3,Yes,No
E0163,21,Sales,Manufacturing Director,5643,13,2,Yes,Yes
E0164,31,Research & Development,Laboratory Technician,9339,5,1,No,No
E0165,36,Sales,Healthcare Representative,8885,0,4,No,No
E0166,50,Research & Development,Manufacturing Director,5540,40,2,No,No
E0167,51,Sales,Healthcare Representative,5709,27,1,No,No
E0168,32,Research & Development,Manufacturing Director,4658,18,2,No,No
E0169,31,Research & Development,Manufacturing Director,8232,8,4,Yes,No
E0170,35,Sales,Manufacturing Director,5568,24,4,Yes,No
E0171,28,Research & Development,Laboratory Technician,4698,22,1,Yes,Yes
E0172,36,Research & Development,Human Resources,7682,9,3,Yes,No
E0173,29,Research & Development,Research Scientist,4526,0,3,No,No
E0174,20,Research & Development,Manager,5776,19,4,No,No
E0175,48,Research & Development,Healthcare Representative,6736,20,4,Yes,No
E0176,51,Research & Development,Manufacturing Director,5087,32,3,No,Yes
E0177,30,Research & Development,Laboratory Technician,5419,16,3,No,No
E0178,35,Research & Development,Manufacturing Director,9877,3,2,No,No
E0179,35,Sales,Manager,6051,36,4,No,No
E0180,18,Research & Development,Research Scientist,5709,16,4,Yes,No
E0181,41,Sales,Healthcare Representative,6115,29,4,No,No
E0182,37,Research & Development,Manager,7500,1,4,Yes,No
E0183,58,Sales,Healthcare Representative,4225,1,3,Yes,Yes
E0184,33,Sales,Research Scientist,7440,0,4,Yes,No
E0185,52,Research & Development,Manufacturing Director,7063,32,4,No,No
E0186,34,Research & Development,Research Scientist,2565,9,1,Yes,No
E0187,25,Sales,Human Resources,10447,32,1,No,No
E0188,32,Research & Development,Laboratory Technician,9714,38,4,Yes,No
E0189,55,Research & Development,Laboratory Technician,4739,27,2,Yes,No
E0190,29,Human Resources,Human Resources,4031,40,4,No,No
E0191,54,Research & Development,Laboratory Technician,7002,38,2,No,No
E0192,46,Sales,Research Scientist,3363,29,2,Yes,No
E0193,50,Sales,Human Resources,9501,32,4,No,No
E0194,50,Research & Development,Healthcare Representative,5469,24,3,Yes,No
E0195,40,Sales,Healthcare Representative,10068,8,3,No,No
E0196,43,Human Resources,Sales Executive,4686,4,2,Yes,Yes
E0197,21,Human Resources,Manufacturing Director,6253,15,3,No,No
E0198,48,Human Resources,Manufacturing Director,9288,19,2,No,No
E0199,48,Sales,Research Scientist,5789,14,4,Yes,No
E0200,22,Research & Development,Manufacturing Director,7099,4,2,Yes,Yes
E0201,40,Research & Development,Research Scientist,8904,20,1,No,No
E0202,39,Sales,Manufacturing Director,5277,20,3,No,No
E0203,31,Sales,Manager,3724,39,4,No,No
E0204,20,Sales,Manager,3291,39,4,No,No
E0205,18,Research & Development,Research Scientist,7784,25,1,Yes,No
E0206,26,Human Resources,Research Scientist,7355,34,4,No,No
E0207,27,Research & Development,Sales Executive,8836,12,2,Yes,No
E0208,27,Sales,Laboratory Technician,5897,39,4,No,No
E0209,44,Research & Development,Sales Executive,3352,38,3,Yes,No
E0210,36,Sales,Sales Executive,1500,5,4,No,No
E0211,22,Sales,Human Resources,12810,28,2,Yes,No
E0212,21,Sales,Manager,7659,18,3,No,No
E0213,46,Research & Development,Manufacturing Director,6801,10,3,No,No
E0214,58,Research & Development,Manager,7113,16,1,No,No
E0215,53,Research & Development,Manufacturing Director,3351,37,4,No,No
E0216,50,Research & Development,Healthcare Representative,4751,37,1,No,No
E0217,31,Sales,Human Resources,10335,14,4,No,No
E0218,48,Research & Development,Sales Executive,7948,18,1,Yes,No
E0219,21,Sales,Laboratory Technician,4820,21,1,No,No
E0220,25,Research & Development,Sales Executive,3801,30,2,No,No
E0221,24,Research & Development,Manager,5365,19,1,No,No
E0222,25,Sales,Manager,5806,16,1,No,No
E0223,33,Sales,Manager,11008,37,1,No,No
E0224,19,Sales,Healthcare Representative,6086,15,2,No,No
E0225,52,Sales,Manufacturing Director,3883,10,2,No,No
E0226,48,Human Resources,Sales Executive,6371,13,1,No,No
E0227,45,Sales,Manager,7082,13,1,No,No
E0228,25,Research & Development,Human Resources,3683,22,3,No,No
E0229,55,Human Resources,Human Resources,7385,27,2,No,No
E0230,18,Research & Development,Laboratory Technician,9160,5,4,No,Yes
E0231,60,Research & Development,Research Scientist,6805,36,4,No,No
E0232,49,Human Resources,Healthcare Representative,4746,10,1,No,No
E0233,26,Sales,Sales Executive,5336,4,4,No,No
E0234,26,Sales,Sales Executive,2851,27,3,No,No
E0235,47,Research & Development,Manager,6206,8,4,No,No
E0236,52,Research & Development,Human Resources,7184,30,2,No,Yes
E0237,38,Research & Development,Laboratory Technician,4527,38,1,No,No
E0238,20,Sales,Manufacturing Director,10767,28,4,Yes,No
E0239,39,Research & Development,Manufacturing Director,8243,31,3,No,No
E0240,38,Research & Development,Sales Executive,2556,20,1,No,No
E0241,32,Human Resources,Research Scientist,2601,14,1,No,No
E0242,56,Sales,Laboratory Technician,4335,25,1,No,No
E0243,32,Sales,Manager,9961,14,2,Yes,Yes
E0244,28,Human Resources,Manufacturing Director,8460,35,2,No,No
E0245,47,Research & Development,Manager,10072,19,2,No,No
E0246,44,Sales,Research Scientist,6522,20,4,No,No
E0247,44,Sales,Human Resources,6039,27,4,No,Yes
E0248,39,Research & Development,Human Resources,3755,7,3,Yes,Yes
E0249,31,Research & Development,Manufacturing Director,7269,23,3,No,No
E0250,29,Research & Development,Research Scientist,6068,30,4,No,Yes
E0251,23,Research & Development,Human Resources,5984,31,2,No,No
E0252,25,Sales,Manager,10060,9,3,Yes,No
E0253,42,Sales,Manufacturing Director,6222,2,3,No,No
E0254,35,Research & Development,Research Scientist,9428,7,2,No,No
E0255,49,Research & Development,Healthcare Representative,3006,33,4,No,No
E0256,52,Sales,Laboratory Technician,12414,10,1,No,No
E0257,42,Research & Development,Healthcare Representative,5679,2,1,No,No
E0258,22,Sales,Manager,8056,24,2,No,No
E0259,18,Sales,Manufacturing Director,8406,36,4,No,No
E0260,27,Human Resources,Sales Executive,5406,9,2,No,No
E0261,30,Sales,Manufacturing Director,8302,1,1,No,Yes
E0262,21,Sales,Human Resources,8416,5,4,No,No
E0263,51,Research & Development,Research Scientist,4931,5,1,No,No
E0264,33,Research & Development,Human Resources,4957,8,1,No,No
E0265,49,Research & Development,Laboratory Technician,6600,7,4,No,No
E0266,26,Research & Development,Healthcare Representative,6246,26,2,No,No
E0267,18,Sales,Healthcare Representative,9565,9,1,No,No
E0268,23,Research & Development,Research Scientist,8046,22,2,Yes,No
E0269,38,Sales,Sales Executive,6345,16,3,No,No
E0270,38,Sales,Human Resources,7833,26,4,No,No
E0271,36,Research & Development,Healthcare Representative,1997,26,1,No,No
E0272,59,Sales,Healthcare Representative,5146,24,2,No,No
E0273,46,Research & Development,Laboratory Technician,7133,36,3,Yes,No
E0274,49,Human Resources,Sales Executive,8954,8,3,No,No
E0275,23,Research & Development,Research Scientist,6939,21,3,No,No
E0276,38,Research & Development,Manufacturing Director,9708,16,2,No,No
E0277,44,Sales,Healthcare Representative,8409,21,4,Yes,No
E0278,43,Research & Development,Laboratory Technician,5426,5,1,Yes,No
E0279,58,Research & Development,Research Scientist,6192,13,4,No,No
E0280,38,Research & Development,Research Scientist,7399,38,4,No,No
E0281,33,Research & Development,Human Resources,5513,32,3,No,No
E0282,58,Sales,Healthcare Representative,9869,17,2,Yes,No
E0283,32,Sales,Human Resources,4061,4,2,No,No
E0284,42,Research & Development,Sales Executive,7195,26,2,Yes,No
E0285,19,Research & Development,Manufacturing Director,8118,12,1,No,No
E0286,25,Sales,Manufacturing Director,5810,13,1,Yes,No
E0287,20,Research & Development,Laboratory Technician,5315,3,3,No,No
E0288,35,Research & Development,Laboratory Technician,6333,11,3,Yes,No
E0289,58,Research & Development,Sales Executive,8286,8,2,No,No
E0290,21,Sales,Sales Executive,5400,1,2,No,No
E0291,59,Research & Development,Manager,4148,24,1,No,No
E0292,55,Research & Development,Manufacturing Director,9031,39,4,Yes,No
E0293,18,Human Resources,Research Scientist,7378,5,4,No,No
E0294,18,Sales,Laboratory Technician,8717,2,1,No,No
E0295,56,Research & Development,Human Resources,8171,4,2,Yes,Yes
E0296,43,Research & Development,Manufacturing Director,11296,22,3,Yes,Yes
E0297,25,Research & Development,Human Resources,8953,33,1,No,No
E0298,59,Sales,Research Scientist,4907,12,1,No,No
E0299,42,Sales,Sales Executive,7535,4,4,No,No
E0300,45,Research & Development,Manufacturing Director,5274,3,1,Yes,Yes
E0301,47,Sales,Healthcare Representative,5501,24,3,No,No
E0302,26,Sales,Human Resources,3392,14,4,No,No
E0303,33,Human Resources,Manufacturing Director,5871,14,3,No,Yes
E0304,23,Sales,Research Scientist,7699,9,2,No,No
E0305,40,Human Resources,Manufacturing Director,6355,36,1,No,No
E0306,60,Research & Development,Laboratory Technician,4081,15,3,No,No
E0307,44,Research & Development,Research Scientist,3149,29,2,No,Yes
E0308,47,Sales,Sales Executive,11146,30,4,Yes,No
E0309,26,Research & Development,Manager,7215,2,3,No,No
E0310,41,Research & Development,Healthcare Representative,4687,10,1,No,No
E0311,60,Human Resources,Research Scientist,7516,36,2,No,No
E0312,21,Sales,Manufacturing Director,11316,36,3,No,No
E0313,26,Sales,Human Resources,7865,16,3,No,No
E0314,48,Human Resources,Manager,1500,6,3,Yes,No
E0315,18,Sales,Manufacturing Director,12335,12,1,No,No
E0316,26,Research & Development,Sales Executive,2432,38,1,No,Yes
E0317,58,Sales,Healthcare Representative,6047,27,1,No,No
E0318,18,Sales,Manufacturing Director,4007,3,3,No,No
E0319,36,Research & Development,Human Resources,4872,29,1,Yes,No
E0320,32,Research & Development,Manufacturing Director,7126,6,4,Yes,No
E0321,35,Research & Development,Manager,1944,12,2,Yes,No
E0322,29,Research & Development,Manufacturing Director,6301,19,2,No,No
E0323,29,Research & Development,Manufacturing Director,9024,14,1,No,No
E0324,50,Human Resources,Laboratory Technician,4645,28,2,No,No
E0325,19,Sales,Laboratory Technician,3441,6,4,No,No
E0326,23,Research & Development,Laboratory Technician,6194,35,1,No,No
E0327,29,Research & Development,Manufacturing Director,5756,24,3,No,Yes
E0328,53,Research & Development,Human Resources,5190,12,1,No,No
E0329,34,Research & Development,Laboratory Technician,3886,39,1,No,No
E0330,19,Research & Development,Manufacturing Director,7642,19,3,Yes,No
E0331,40,Research & Development,Human Resources,7810,17,3,No,No
E0332,44,Research & Development,Research Scientist,4156,0,3,No,No
E0333,37,Research & Development,Research Scientist,4460,40,1,No,No
E0334,21,Research & Development,Manufacturing Director,6800,34,1,No,No
E0335,55,Research & Development,Laboratory Technician,4377,7,2,Yes,No
E0336,54,Sales,Laboratory Technician,6893,38,1,No,No
E0337,57,Research & Development,Manager,9730,32,4,Yes,Yes
E0338,59,Sales,Manufacturing Director,6368,17,2,No,No
E0339,31,Research & Development,Laboratory Technician,3830,38,3,Yes,No
E0340,36,Research & Development,Manufacturing Director,7363,22,1,No,No
E0341,59,Sales,Human Resources,6109,28,3,No,No
E0342,37,Sales,Human Resources,6170,7,1,Yes,No
E0343,55,Research & Development,Research Scientist,7546,4,2,No,No
E0344,45,Human Resources,Sales Executive,8020,21,2,Yes,Yes
E0345,57,Sales,Sales Executive,6578,13,1,No,No
E0346,18,Sales,Manufacturing Director,6367,40,1,No,No
E0347,48,Research & Development,Healthcare Representative,11040,3,4,No,Yes
E0348,52,Human Resources,Sales Executive,9141,31,2,No,No
E0349,26,Research & Development,Manufacturing Director,8334,24,3,No,No
E0350,49,Sales,Laboratory Technician,6789,36,3,No,Yes
E0351,26,Research & Development,Human Resources,4287,40,3,No,No
E0352,56,Research & Development,Healthcare Representative,8980,35,3,No,No
E0353,57,Research & Development,Laboratory Technician,6817,15,4,No,No
E0354,18,Research & Development,Healthcare Representative,5230,28,3,Yes,No
E0355,39,Research & Development,Sales Executive,5965,6,2,Yes,No
E0356,34,Research & Development,Manufacturing Director,4374,19,2,No,No
E0357,56,Sales,Laboratory Technician,8826,11,4,No,No
E0358,31,Sales,Research Scientist,8003,10,2,Yes,No
E0359,48,Research & Development,Laboratory Technician,6900,23,3,No,No
E0360,23,Sales,Healthcare Representative,6406,5,4,No,No
E0361,27,Research & Development,Healthcare Representative,5003,23,1,No,No
E0362,60,Research & Development,Human Resources,1814,16,1,No,No
E0363,34,Research & Development,Research Scientist,3392,9,1,No,No
E0364,50,Sales,Healthcare Representative,4866,23,1,No,No
E0365,59,Sales,Manufacturing Director,4535,30,3,Yes,No
E0366,59,Research & Development,Human Resources,7137,25,3,Yes,No
E0367,18,Research & Development,Human Resources,8285,3,2,Yes,No
E0368,28,Sales,Healthcare Representative,6217,23,1,No,No
E0369,48,Research & Development,Laboratory Technician,9600,25,3,No,Yes
E0370,57,Sales,Manufacturing Director,4778,28,1,No,No
E0371,60,Sales,Healthcare Representative,6202,17,3,Yes,No
E0372,48,Research & Development,Manager,6388,3,4,No,No
E0373,22,Research & Development,Research Scientist,8903,5,2,No,No
E0374,49,Research & Development,Human Resources,6733,13,2,No,No
E0375,29,Research & Development,Manager,6794,26,3,No,No
E0376,52,Human Resources,Sales Executive,2859,30,1,No,No
E0377,41,Sales,Research Scientist,4520,27,3,No,No
E0378,25,Research & Development,Research Scientist,8911,12,2,No,No
E0379,54,Sales,Healthcare Representative,1934,18,2,Yes,No
E0380,60,Research & Development,Research Scientist,9455,1,1,No,Yes
E0381,39,Research & Development,Laboratory Technician,7599,32,4,No,No
E0382,52,Research & Development,Research Scientist,4855,14,2,No,No
E0383,20,Sales,Sales Executive,4669,20,1,No,No
E0384,29,Research & Development,Manufacturing Director,10671,18,4,Yes,No
E0385,23,Research & Development,Laboratory Technician,9605,11,4,No,No
E0386,30,Research & Development,Manufacturing Director,6237,6,3,No,No
E0387,34,Research & Development,Research Scientist,6796,39,1,No,No
E0388,36,Research & Development,Laboratory Technician,5078,4,4,No,No
E0389,31,Research & Development,Human Resources,6797,38,1,No,No
E0390,41,Research & Development,Manager,5017,4,1,No,No
E0391,27,Research & Development,Research Scientist,6327,3,3,No,No
E0392,32,Research & Development,Research Scientist,10483,37,2,No,No
E0393,54,Research & Development,Human Resources,6290,38,1,No,No
E0394,42,Research & Development,Healthcare Representative,4194,36,3,Yes,No
E0395,19,Research & Development,Manufacturing Director,3494,31,2,No,No
E0396,32,Research & Development,Healthcare Representative,6780,20,4,No,No
E0397,53,Research & Development,Research Scientist,4826,4,1,No,No
E0398,25,Research & Development,Laboratory Technician,7043,24,4,No,No
E0399,57,Research & Development,Laboratory Technician,2937,21,3,No,Yes
E0400,30,Research & Development,Manager,8019,30,1,No,No
E0401,45,Research & Development,Research Scientist,4168,1,3,Yes,No
E0402,38,Human Resources,Manufacturing Director,6602,3,4,No,No
E0403,44,Sales,Manager,5756,24,1,Yes,No
E0404,52,Sales,Research Scientist,10280,35,4,No,No
E0405,24,Sales,Sales Executive,6877,38,2,No,No
E0406,33,Research & Development,Manager,10780,23,4,Yes,No
E0407,42,Research & Development,Human Resources,7734,15,1,No,No
E0408,29,Research & Development,Manufacturing Director,9636,19,3,No,No
E0409,34,Sales,Sales Executive,6041,20,4,No,No
E0410,56,Research & Development,Manufacturing Director,7260,25,2,No,No
E0411,27,Research & Development,Laboratory Technician,9181,9,1,No,No
E0412,26,Research & Development,Healthcare Representative,8491,15,2,No,Yes
E0413,43,Sales,Sales Executive,7668,22,3,No,No
E0414,22,Sales,Manager,5779,34,3,No,No
E0415,18,Sales,Healthcare Representative,6151,32,2,No,No
E0416,55,Research & Development,Healthcare Representative,9003,30,4,No,No
E0417,29,Research & Development,Manufacturing Director,9461,8,3,No,No
E0418,23,Sales,Research Scientist,5196,16,3,No,No
E0419,46,Research & Development,Human Resources,4864,22,4,No,No
E0420,38,Sales,Research Scientist,4511,39,4,No,No
E0421,37,Research & Development,Laboratory Technician,8325,14,2,No,No
E0422,36,Sales,Human Resources,4455,37,2,No,No
E0423,24,Sales,Sales Executive,8299,30,3,No,No
E0424,54,Sales,Sales Executive,7701,25,3,No,Yes
E0425,18,Research & Development,Manager,5301,28,2,No,No
E0426,38,Human Resources,Laboratory Technician,9940,32,3,No,No
E0427,29,Research & Development,Healthcare Representative,3283,28,3,No,No
E0428,45,Sales,Healthcare Representative,10151,27,4,No,No
E0429,41,Human Resources,Manager,7202,15,2,No,No
E0430,34,Human Resources,Healthcare Representative,1938,17,4,No,No
E0431,40,Research & Development,Laboratory Technician,10002,24,1,No,No
E0432,27,Sales,Manufacturing Director,8639,34,4,No,No
E0433,23,Research & Development,Manager,5558,26,1,Yes,Yes
E0434,56,Human Resources,Laboratory Technician,4378,40,4,Yes,Yes
E0435,44,Research & Development,Research Scientist,3048,27,1,No,No
E0436,46,Research & Development,Manufacturing Director,11814,16,4,No,No
E0437,60,Research & Development,Human Resources,4469,23,4,Yes,No
E0438,56,Human Resources,Sales Executive,3720,25,4,No,Yes
E0439,43,Sales,Research Scientist,7089,35,4,No,No
E0440,52,Sales,Human Resources,2897,10,2,No,No
E0441,40,Research & Development,Manager,4341,10,1,No,Yes
E0442,28,Sales,Sales Executive,8689,8,4,No,No
E0443,44,Research & Development,Research Scientist,7521,2,3,No,No
E0444,57,Sales,Healthcare Representative,5650,27,4,No,No
E0445,55,Sales,Manager,6540,39,3,No,No
E0446,39,Sales,Manager,5527,25,3,Yes,No
E0447,58,Research & Development,Human Resources,6364,2,2,No,No
E0448,26,Research & Development,Manufacturing Director,4824,14,2,No,No
E0449,19,Research & Development,Human Resources,5223,37,2,Yes,Yes
E0450,35,Sales,Healthcare Representative,5157,2,3,No,No
E0451,26,Human Resources,Manufacturing Director,4903,25,3,Yes,No
E0452,59,Research & Development,Healthcare Representative,8797,18,1,No,No
E0453,22,Human Resources,Manufacturing Director,8194,37,1,No,No
E0454,40,Research & Development,Healthcare Representative,4449,21,1,No,No
E0455,51,Sales,Manager,3872,23,3,No,No
E0456,22,Research & Development,Human Resources,6154,29,3,No,No
E0457,19,Research & Development,Healthcare Representative,11242,33,1,No,No
